Recorder,Lat,Long,Duration_in_min,Bird_heard_(Y/N),Time(HH:MM)
Aurel,-33.889577,18.514238,14,Y,08:49
Aurel,-33.889697,18.514520,11,Y,09:04
Aurel,-33.889292,18.513862,7,Y,09:17
Aurel,-33.889573,18.513773,15,Y,09:25
Aurel,-33.888790,18.513179,7,Y,09:50
Aurel,-33.889100,18.512987,8,Y,10:02
Aurel,-33.889377,18.513126,10,Y,10:11
Aurel,-33.889639,18.514975,4,N,10:29
Aurel,-33.889814,18.515240,3,N,10:48
Aness,-33.888609,18.513034,28,Y,08:45
Aness,-33.888555,18.513442,13,Y,09:16
Aness,-33.888555,18.513236,12,Y,09:30
Aness,-33.888556,18.515606,5,Y,10:02
Aness,-33.888557,18.515348,6,Y,10:12
Aness,-33.888558,18.513057,4,Y,10:28
Aness,-33.888559,18.513042,8,Y,10:33
Aness,-33.888560,18.513040,16,Y,10:44
Aness,-33.888587,18.513232,6,Y,11:02
Annette ,-33.889452,18.513529,35,Y,08:53
Annette ,-33.889357,18.513510,29,Y,09:28
Annette ,-33.889100,18.512987,14,Y,09:57
Annette ,-33.889377,18.513126,18,Y,10:11
Annette ,-33.889639,18.514975,22,Y,10:29
Annette ,-33.889814,18.515240,9,N,10:51
herman,-33.888557,18.515349,21,Y,09:00
herman,-33.888558,18.513041,20,Y,09:30
herman,-33.888607,18.513034,15,N,10:00
herman,-33.888558,18.513054,7,Y,10:15
herman,-33.888565,18.513230,15,Y,10:35
herman,-33.889637,18.512988,10,N,11:00
Anas,-33.8892576,18.5156322,5,Y,N/A
Pelumi,-33.886751,18.515404,20,Y,08:50
Pelumi,-33.887531,18.515000,33,Y,09:12
Pelumi,-33.889474,18.513138,5,Y,09:55
Pelumi,-33.889032,18.513044,7,Y,10:00
Pelumi,-33.89164,18.515212,5,Y,10:17
Pelumi,-33.889331,18.515621,5,Y,10:24
Pelumi,-33.888477,18.516058,20,Y,10:30
Pelumi,-33.887970,18.515210,15,Y,10:57
Isaac,-33.886890,18.515297,14,Y,08:50
Isaac,-33.886583,18.516489,14,Y,09:06
Isaac,-33.886833,18.517983,10,Y,09:22
Isaac,-33.887040,18.515922,5,Y,09:38
Isaac,-33.888994,18.512964,4,Y,09:56
Isaac,-33.889546,18.514952,4,Y,10:06
Isaac,-33.891640,18.515212,4,Y,10:11
Isaac,-33.889331,18.515625,3,Y,10:23
Isaac,-33.888420,18.516118,5,Y,10:38
Isaac,-33.888357,18.517210,5,N,10:46
Isaac,-33.887961,18.513957,2,Y,11:03
Isaac,-33.888914,18.512936,3,N,11:09
Isaac,-33.889103,18.513063,2,Y,11:13
Michael,-33.888107,18.516192,5,Y,09:08
Michael,-33.888107,18.516192,7,Y,09:20
Michael,-33.889814,18.515240,6,Y,09:28
Michael,-33.889474,18.513138,12,Y,09:35
Michael,-33.889377,18.514975,18,Y,10:03
Michael,-33.888107,18.516192,5,Y,10:30
Michael,-33.890108,18.515498,5,Y,10:44
Michael,-33.890266,18512118,8,Y,10:50
Michael,-33.889356,18.512949,5,Y,11:01
